Ship Name,Incident Type,Date,Time,Latitude,Longitude,Flag of Ship,Type of Ship,Ship Activity,CAT,Attack Description
"Sandpiper Attempted 29 Dec 1035 SINGAPORE PETROLEUM/ 3° 55.95' N 98° 44.38' E Indonesia Medan At Anchor While anchored, the crew on duty spotted three perpetrators NA",Attempted,29 Dec 1035,1035,3° 55.95' N,98° 44.38' E,,,At Anchor,,
"Rostrum Robbery/ 28 Dec 0114 LIBERIA BULK 1° 3.28' N 103° 40.27' E Straits of Malacca Approximately While While underway, five perpetrators were sighted in the 3",,28 Dec 0114,0114,1° 3.28' N,103° 40.27' E,,,,,
"Front Eagle Robbery/ 22 Dec 0605 LIBERIA TANKER 1° 3.75' N 103° 39.81' E Straits of Malacca Approximately While While underway, the engine crew sighted three perpetrators 4",,22 Dec 0605,0605,1° 3.75' N,103° 39.81' E,,,,,
"Seaspan Robbery/ 21 Dec 2310 HONG KONG, CONTAINER 14° 32.73' N 120° 52.08' E Philippines Approximately At Anchor While at anchor, four perpetrators boarded the ship. The duty 4",,21 Dec 2310,2310,14° 32.73' N,120° 52.08' E,,,At Anchor,,
"Nordmaas Robbery/ 19 Dec 0400 CYPRUS CONTAINER 9° 59' N 107° 4' E Vietnam Vung Tau At Anchor While at anchor, an unknown number of perpetrators 4",,19 Dec 0400,0400,9° 59' N,107° 4' E,,,At Anchor,,
"Cape Star Robbery/ 17 Dec 2253 HONG KONG, BULK 1° 4.81' N 103° 41.9' E Straits of Malacca Approximately While While underway, the crew spotted four to five perpetrators, 3",,17 Dec 2253,2253,1° 4.81' N,103° 41.9' E,,,,,
"Honor Star Robbery/ 14 Dec 0001 PANAMA BULK 1° 4.5' N 103° 34.9' E Straits of Malacca Approximately While While underway, the crew spotted six perpetrators armed 3",,14 Dec 0001,0001,1° 4.5' N,103° 34.9' E,,,,,
HK Tug 9 & Robbery / 11 Dec 0940 SINGAPORE TUG BOAT & 1° 25.45' N 104° 30.55' E South China Sea Approximately While While the tug boat towing barge was enroute from Jurong 4,,11 Dec 0940,0940,1° 25.45' N,104° 30.55' E,,,,,
"Proteus Robbery/ 11 Dec 0210 SINGAPORE TANKER 1° 4.55' N 103° 41.62' E Straits of Malacca Approximately While While underway and bound for Singapore port, the 3",,11 Dec 0210,0210,1° 4.55' N,103° 41.62' E,,,,,
"Dalma Robbery/ 9 Dec 0417 LIBERIA TANKER 1° 3.5' N 103° 39.8' E Straits of Malacca Approximately While While underway, the perpetrators boarded the ship 4",,9 Dec 0417,0417,1° 3.5' N,103° 39.8' E,,,,,
"Kyzikos Robbery/ 7 Dec 2350 LIBERIA BULK 1° 3.66' N 103° 39.85' E Straits of Malacca Approximately While While underway, the crew spotted eight unarmed 4",,7 Dec 2350,2350,1° 3.66' N,103° 39.85' E,,,,,
"Genco Robbery/ 7 Dec 0345 MARSHALL BULK 1° 4' N 103° 40.4' E Straits of Malacca Approximately While While underway, the crew spotted six perpetrators armed 3",,7 Dec 0345,0345,1° 4' N,103° 40.4' E,,,,,
"Pac Alnath Attempted 3 Dec 0920 SINGAPORE GENERAL 3° 47.3' N 98° 42.15' E Indonesia Berth no. 112, At Berth While at berth during cargo operations, the Chief Officer NA",Attempted,3 Dec 0920,0920,3° 47.3' N,98° 42.15' E,,,At Berth,,
"Sakizaya Robbery/ 2 Dec 0343 PANAMA BULK 1° 8.02' N 103° 45.4' E Straits of Malacca Approximately While While underway, the crew spotted about eight perpetrators, 2",,2 Dec 0343,0343,1° 8.02' N,103° 45.4' E,,,,,
"Express Robbery/ 26 Nov 0001 PANAMA BULK 1° 5.17' N 103° 43.62' E Straits of Malacca Approximately While While underway, two perpetrators were sighted at the aft 4",,26 Nov 0001,0001,1° 5.17' N,103° 43.62' E,,,,,
"Theodore JR Robbery/ 24 Nov 0100 PANAMA BULK 1° 3.9' N 103° 41.3' E Straits of Malacca Approximately While While underway, six perpetrators armed with knives were 3",,24 Nov 0100,0100,1° 3.9' N,103° 41.3' E,,,,,
