Index,Latitude,Longitude,Area Location
1,3° 55.95' N,98° 44.38' E,Indonesia
2,1° 3.28' N,103° 40.27' E,Straits of Malacca
3,1° 3.75' N,103° 39.81' E,Straits of Malacca
4,14° 32.73' N,120° 52.08' E,Philippines
5,9° 59' N,107° 4' E,Vietnam
6,1° 4.81' N,103° 41.9' E,Straits of Malacca
7,1° 4.5' N,103° 34.9' E,Straits of Malacca
8,1° 25.45' N,104° 30.55' E,South China Sea
9,1° 4.55' N,103° 41.62' E,Straits of Malacca
10,1° 3.5' N,103° 39.8' E,Straits of Malacca
11,1° 3.66' N,103° 39.85' E,Straits of Malacca
12,1° 4' N,103° 40.4' E,Straits of Malacca
13,3° 47.3' N,98° 42.15' E,Indonesia
14,1° 8.02' N,103° 45.4' E,Straits of Malacca
15,1° 5.17' N,103° 43.62' E,Straits of Malacca
16,1° 3.9' N,103° 41.3' E,Straits of Malacca
17,1° 3.7' N,103° 42.1' E,Straits of Malacca
18,21° 23.44' N,91° 48.63' E,Bangladesh
19,1° 4.7' N,103° 41.7' E,Straits of Malacca
20,1° 5.8' N,103° 44.1' E,Straits of Malacca
21,21° 52' N,91° 45' E,Bangladesh
22,1° 3.5' N,103° 37.1' E,Straits of Malacca
23,1° 2.86' N,103° 38.36' E,Straits of Malacca
24,1° 2.73' N,103° 38.8' E,Straits of Malacca
25,1° 2.73' N,103° 38.8' E,Straits of Malacca
26,1° 4.22' N,103° 41.17' E,Straits of Malacca
27,1° 2.6' N,103° 39.1' E,Straits of Malacca
28,1° 8.23' N,103° 45.39' E,Straits of Malacca
29,1° 8' N,,
30,1° 4.18' N,,
31,1° 5.18' N,103° 42.37' E,Straits of Malacca
32,1° 7.88' N,103° 30.33' E,Straits of Malacca
33,1° 7.83' N,103° 29.42' E,Straits of Malacca
34,3° 53.9' N,98° 48' E,Indonesia
35,5° 30.05' S,105° 17.25' E,Indonesia
36,21° 48.7' N,91° 47.9' E,Bangladesh
37,1° 4.74' N,103° 43.08' E,Straits of Malacca
38,1° 5.6' N,103° 43.7' E,Straits of Malacca
39,4° 12.23' S,113° 49.62' E,Indonesia
40,1° 15.25' N,103° 38.85' E,Straits of Malacca
41,1° 15.25' N,104° 1.85' E,Malaysia
42,1° 4.18' N,103° 37.07' E,Straits of Malacca
43,1° 15.25' N,104° 1.85' E,Straits of Malacca
44,1° 17.02' N,104° 8.62' E,Straits of Malacca
45,1° 4.8' N,103° 42.8' E,Straits of Malacca
46,1° 3.1' N,103° 38.3' E,Straits of Malacca
47,1° 15.43' N,104° 11.5' E,Straits of Malacca
48,1° 9.69' N,103° 57.7' E,Indonesia
49,1° 3.5' N,103° 40.6' E,Straits of Malacca
50,1° 3.8' N,103° 40.1' E,Straits of Malacca
51,1° 5.6' N,103° 43.1' E,Straits of Malacca
52,3° 26' N,99° 27' E,Indonesia
53,1° 5' N,103° 43.2' E,Straits of Malacca
54,1° 16.1' N,,
55,1° 3.58' N,103° 39.46' E,Straits of Malacca
56,1° 10.48' N,103° 28.71' E,Straits of Malacca
57,1° 6.9' N,104° 10.6' E,Indonesia
58,1° 14.5' N,104° 3.5' E,Straits of Malacca
